----------- Network Initialization --------------
----------- Network Initialization --------------
----------- Network Initialization --------------
----------- Network Initialization --------------
----------- Network Initialization --------------
----------- Network Initialization --------------
----------- Network Initialization --------------
----------- Network Initialization --------------
----------- Network Initialization --------------
Epoch[1]: Train accuracy is 51.8100%
Epoch[1]: Test accuracy is 89.5100%
----------- Network training finished --------------
Max_Accu in test dataset: 89.5100%
Epoch[2]: Train accuracy is 91.9750%
Epoch[2]: Test accuracy is 93.9100%
----------- Network training finished --------------
Max_Accu in test dataset: 93.9100%
Epoch[3]: Train accuracy is 94.7333%
Epoch[3]: Test accuracy is 96.0600%
----------- Network training finished --------------
Max_Accu in test dataset: 96.0600%
Epoch[4]: Train accuracy is 96.0133%
Epoch[4]: Test accuracy is 96.7000%
----------- Network training finished --------------
Max_Accu in test dataset: 96.7000%
Epoch[5]: Train accuracy is 96.7967%
Epoch[5]: Test accuracy is 96.8400%
----------- Network training finished --------------
Max_Accu in test dataset: 96.8400%
----------- Network Initialization --------------
Epoch[1]: Train accuracy is 48.1933%
Epoch[1]: Test accuracy is 89.8900%
Epoch[2]: Train accuracy is 91.6450%
Epoch[2]: Test accuracy is 93.8800%
Epoch[3]: Train accuracy is 94.7117%
Epoch[3]: Test accuracy is 96.0700%
Epoch[4]: Train accuracy is 95.9883%
Epoch[4]: Test accuracy is 96.6400%
Epoch[5]: Train accuracy is 96.8667%
Epoch[5]: Test accuracy is 97.1000%
Epoch[6]: Train accuracy is 97.3967%
Epoch[6]: Test accuracy is 97.1800%
Epoch[7]: Train accuracy is 97.6683%
Epoch[7]: Test accuracy is 97.6000%
Epoch[8]: Train accuracy is 98.0100%
Epoch[8]: Test accuracy is 97.7700%
Epoch[9]: Train accuracy is 98.1817%
Epoch[9]: Test accuracy is 97.9400%
Epoch[10]: Train accuracy is 98.3950%
Epoch[10]: Test accuracy is 98.1100%
Epoch[11]: Train accuracy is 98.5867%
Epoch[11]: Test accuracy is 98.1000%
Epoch[12]: Train accuracy is 98.5883%
Epoch[12]: Test accuracy is 97.9100%
Epoch[13]: Train accuracy is 98.7600%
Epoch[13]: Test accuracy is 98.2100%
Epoch[14]: Train accuracy is 98.9667%
Epoch[14]: Test accuracy is 98.3000%
Epoch[15]: Train accuracy is 99.0400%
Epoch[15]: Test accuracy is 98.2900%
Epoch[16]: Train accuracy is 99.0850%
Epoch[16]: Test accuracy is 98.3800%
Epoch[17]: Train accuracy is 99.2250%
Epoch[17]: Test accuracy is 98.3700%
Epoch[18]: Train accuracy is 99.2533%
Epoch[18]: Test accuracy is 98.2900%
Epoch[19]: Train accuracy is 99.3283%
Epoch[19]: Test accuracy is 98.3700%
Epoch[20]: Train accuracy is 99.3033%
Epoch[20]: Test accuracy is 98.2900%
Epoch[21]: Train accuracy is 99.4533%
Epoch[21]: Test accuracy is 98.4800%
Epoch[22]: Train accuracy is 99.4500%
Epoch[22]: Test accuracy is 98.4900%
Epoch[23]: Train accuracy is 99.5283%
Epoch[23]: Test accuracy is 98.2600%
Epoch[24]: Train accuracy is 99.5133%
Epoch[24]: Test accuracy is 98.3100%
Epoch[25]: Train accuracy is 99.6283%
Epoch[25]: Test accuracy is 98.4800%
Epoch[26]: Train accuracy is 99.6550%
Epoch[26]: Test accuracy is 98.4200%
Epoch[27]: Train accuracy is 99.6483%
Epoch[27]: Test accuracy is 98.4500%
Epoch[28]: Train accuracy is 99.7000%
Epoch[28]: Test accuracy is 98.5000%
Epoch[29]: Train accuracy is 99.6800%
Epoch[29]: Test accuracy is 98.3600%
Epoch[30]: Train accuracy is 99.7633%
Epoch[30]: Test accuracy is 98.5200%
Epoch[31]: Train accuracy is 99.7817%
Epoch[31]: Test accuracy is 98.4100%
Epoch[32]: Train accuracy is 99.8133%
Epoch[32]: Test accuracy is 98.4700%
